case	rep	j	r	k	guesses
0	0	192	4	3	[3, 5]
1	0	0	0	0	[0, 0]
2	0	0	0	0	[0, 0]
3	0	17	15	1	[1, 3]
4	0	200	9	7	[15, 1]
5	0	0	0	0	[0, 0]
6	0	72	7	2	[1, 3]
7	0	4	1	0	[15, 1]
8	0	213	6	5	[1, 3]
9	0	2	1	0	[15, 1]
10	0	160	8	5	[15, 1]
11	0	120	15	7	[1, 3]
12	0	146	7	4	[1, 3]
13	0	0	0	0	[0, 0]
14	0	218	13	11	[3, 5]
15	0	69	15	4	[1, 3]
16	0	226	9	8	[15, 1]
17	0	120	15	7	[1, 3]
18	0	54	14	3	[1, 3]
19	0	119	15	7	[1, 3]
20	0	165	14	9	[1, 3]
21	0	217	13	11	[3, 5]
22	0	176	13	9	[3, 5]
23	0	94	11	4	[1, 3]
24	0	104	5	2	[3, 5]
25	0	3	1	0	[15, 1]
26	0	182	7	5	[1, 3]
27	0	22	12	1	[3, 5]
28	0	103	5	2	[3, 5]
29	0	225	8	7	[15, 1]
30	0	68	15	4	[1, 3]
31	0	174	13	9	[3, 5]
32	0	64	4	1	[3, 5]
33	0	83	3	1	[1, 3]
34	0	173	3	2	[1, 3]
35	0	121	15	7	[1, 3]
FINAL DATA:  [[0, 0], [1, 0], [2, 0], [3, 0], [4, 0], [5, 0], [6, 0], [7, 0], [8, 1], [9, 0], [10, 0], [11, 0], [12, 0], [13, 0], [14, 0], [15, 0], [16, 0], [17, 0], [18, 0], [19, 0], [20, 0], [21, 0], [22, 0], [23, 0], [24, 0], [25, 0], [26, 0], [27, 0], [28, 0], [29, 0], [30, 0], [31, 0], [32, 0], [33, 0], [34, 0], [35, 0]]
