case	rep	j	r	k	guesses

0 	 0 	 192 	 4 	 3 	 [3, 5]
0 	 1 	 128 	 2 	 1 	 [1, 3]
0 	 2 	 0 	 0 	 0 	 [0, 0]
0 	 3 	 192 	 4 	 3 	 [3, 5]
0 	 4 	 192 	 4 	 3 	 [3, 5]
0 	 5 	 192 	 4 	 3 	 [3, 5]
0 	 6 	 128 	 2 	 1 	 [1, 3]
0 	 7 	 64 	 4 	 1 	 [3, 5]
0 	 8 	 64 	 4 	 1 	 [3, 5]
0 	 9 	 128 	 2 	 1 	 [1, 3]
0 	 10 	 128 	 2 	 1 	 [1, 3]
0 	 11 	 0 	 0 	 0 	 [0, 0]
0 	 12 	 128 	 2 	 1 	 [1, 3]
0 	 13 	 192 	 4 	 3 	 [3, 5]
0 	 14 	 128 	 2 	 1 	 [1, 3]
0 	 15 	 0 	 0 	 0 	 [0, 0]
0 	 16 	 128 	 2 	 1 	 [1, 3]
0 	 17 	 192 	 4 	 3 	 [3, 5]
0 	 18 	 128 	 2 	 1 	 [1, 3]
0 	 19 	 64 	 4 	 1 	 [3, 5]
0 	 20 	 64 	 4 	 1 	 [3, 5]
0 	 21 	 192 	 4 	 3 	 [3, 5]
0 	 22 	 192 	 4 	 3 	 [3, 5]
0 	 23 	 0 	 0 	 0 	 [0, 0]
0 	 24 	 192 	 4 	 3 	 [3, 5]
0 	 25 	 0 	 0 	 0 	 [0, 0]
0 	 26 	 192 	 4 	 3 	 [3, 5]
0 	 27 	 0 	 0 	 0 	 [0, 0]
0 	 28 	 128 	 2 	 1 	 [1, 3]
0 	 29 	 0 	 0 	 0 	 [0, 0]
0 	 30 	 192 	 4 	 3 	 [3, 5]
0 	 31 	 64 	 4 	 1 	 [3, 5]
0 	 32 	 0 	 0 	 0 	 [0, 0]
0 	 33 	 192 	 4 	 3 	 [3, 5]
0 	 34 	 0 	 0 	 0 	 [0, 0]
0 	 35 	 64 	 4 	 1 	 [3, 5]
0 	 36 	 192 	 4 	 3 	 [3, 5]
0 	 37 	 0 	 0 	 0 	 [0, 0]
0 	 38 	 192 	 4 	 3 	 [3, 5]
0 	 39 	 64 	 4 	 1 	 [3, 5]
0 	 40 	 0 	 0 	 0 	 [0, 0]
0 	 41 	 0 	 0 	 0 	 [0, 0]
0 	 42 	 64 	 4 	 1 	 [3, 5]
0 	 43 	 64 	 4 	 1 	 [3, 5]
0 	 44 	 64 	 4 	 1 	 [3, 5]
0 	 45 	 0 	 0 	 0 	 [0, 0]
0 	 46 	 64 	 4 	 1 	 [3, 5]
0 	 47 	 192 	 4 	 3 	 [3, 5]
0 	 48 	 64 	 4 	 1 	 [3, 5]
0 	 49 	 64 	 4 	 1 	 [3, 5]
1 	 0 	 16 	 15 	 1 	 [1, 3]
1 	 1 	 0 	 0 	 0 	 [0, 0]
1 	 2 	 64 	 4 	 1 	 [3, 5]
1 	 3 	 193 	 4 	 3 	 [3, 5]
1 	 4 	 112 	 9 	 4 	 [15, 1]
1 	 5 	 192 	 4 	 3 	 [3, 5]
1 	 6 	 192 	 4 	 3 	 [3, 5]
1 	 7 	 64 	 4 	 1 	 [3, 5]
1 	 8 	 128 	 2 	 1 	 [1, 3]
1 	 9 	 64 	 4 	 1 	 [3, 5]
1 	 10 	 64 	 4 	 1 	 [3, 5]
1 	 11 	 32 	 8 	 1 	 [15, 1]
1 	 12 	 136 	 15 	 8 	 [1, 3]
1 	 13 	 0 	 0 	 0 	 [0, 0]
1 	 14 	 64 	 4 	 1 	 [3, 5]
1 	 15 	 0 	 0 	 0 	 [0, 0]
1 	 16 	 0 	 0 	 0 	 [0, 0]
1 	 17 	 192 	 4 	 3 	 [3, 5]
1 	 18 	 128 	 2 	 1 	 [1, 3]
1 	 19 	 128 	 2 	 1 	 [1, 3]
1 	 20 	 160 	 8 	 5 	 [15, 1]
1 	 21 	 224 	 8 	 7 	 [15, 1]
1 	 22 	 64 	 4 	 1 	 [3, 5]
1 	 23 	 128 	 2 	 1 	 [1, 3]
1 	 24 	 0 	 0 	 0 	 [0, 0]
1 	 25 	 64 	 4 	 1 	 [3, 5]
1 	 26 	 192 	 4 	 3 	 [3, 5]
1 	 27 	 192 	 4 	 3 	 [3, 5]
1 	 28 	 1 	 1 	 0 	 [15, 1]
1 	 29 	 192 	 4 	 3 	 [3, 5]
1 	 30 	 192 	 4 	 3 	 [3, 5]
1 	 31 	 196 	 13 	 10 	 [3, 5]
1 	 32 	 193 	 4 	 3 	 [3, 5]
1 	 33 	 192 	 4 	 3 	 [3, 5]
1 	 34 	 96 	 8 	 3 	 [15, 1]
1 	 35 	 0 	 0 	 0 	 [0, 0]
1 	 36 	 64 	 4 	 1 	 [3, 5]
1 	 37 	 128 	 2 	 1 	 [1, 3]
1 	 38 	 129 	 2 	 1 	 [1, 3]
1 	 39 	 0 	 0 	 0 	 [0, 0]
1 	 40 	 193 	 4 	 3 	 [3, 5]
1 	 41 	 64 	 4 	 1 	 [3, 5]
1 	 42 	 128 	 2 	 1 	 [1, 3]
1 	 43 	 192 	 4 	 3 	 [3, 5]
1 	 44 	 96 	 8 	 3 	 [15, 1]
1 	 45 	 144 	 9 	 5 	 [15, 1]
1 	 46 	 0 	 0 	 0 	 [0, 0]
1 	 47 	 128 	 2 	 1 	 [1, 3]
1 	 48 	 192 	 4 	 3 	 [3, 5]
1 	 49 	 121 	 15 	 7 	 [1, 3]
2 	 0 	 64 	 4 	 1 	 [3, 5]
2 	 1 	 128 	 2 	 1 	 [1, 3]
2 	 2 	 96 	 8 	 3 	 [15, 1]
2 	 3 	 0 	 0 	 0 	 [0, 0]
2 	 4 	 128 	 2 	 1 	 [1, 3]
2 	 5 	 66 	 4 	 1 	 [3, 5]
2 	 6 	 160 	 8 	 5 	 [15, 1]
2 	 7 	 160 	 8 	 5 	 [15, 1]
2 	 8 	 64 	 4 	 1 	 [3, 5]
2 	 9 	 64 	 4 	 1 	 [3, 5]
2 	 10 	 96 	 8 	 3 	 [15, 1]
2 	 11 	 128 	 2 	 1 	 [1, 3]
2 	 12 	 0 	 0 	 0 	 [0, 0]
2 	 13 	 64 	 4 	 1 	 [3, 5]
