case	rep	j	r	k	guesses
	0	0	512	2	1	[1, 9]
	0	1	171	6	1	[1, 27]
	0	2	512	2	1	[1, 9]
	0	3	683	3	2	[1, 9]
	0	4	512	2	1	[1, 9]
	0	5	171	6	1	[1, 27]
	0	6	341	3	1	[1, 9]
	0	7	853	6	5	[1, 27]
	0	8	0	0	0	[0, 0]
	0	9	170	6	1	[1, 27]
	0	10	171	6	1	[1, 27]
	0	11	683	3	2	[1, 9]
	0	12	683	3	2	[1, 9]
	0	13	512	2	1	[1, 9]
	0	14	683	3	2	[1, 9]
	0	15	171	6	1	[1, 27]
	0	16	341	3	1	[1, 9]
	0	17	853	6	5	[1, 27]
	0	18	512	2	1	[1, 9]
	0	19	0	0	0	[0, 0]
	0	20	341	3	1	[1, 9]
	0	21	512	2	1	[1, 9]
	0	22	342	3	1	[1, 9]
	0	23	853	6	5	[1, 27]
	0	24	512	2	1	[1, 9]
	0	25	853	6	5	[1, 27]
	0	26	171	6	1	[1, 27]
	0	27	512	2	1	[1, 9]
	0	28	858	25	21	[27, 1]
	0	29	342	3	1	[1, 9]
	0	30	169	6	1	[1, 27]
	0	31	854	6	5	[1, 27]
	0	32	512	2	1	[1, 9]
	0	33	172	6	1	[1, 27]
	0	34	854	6	5	[1, 27]
	0	35	683	3	2	[1, 9]
	0	36	512	2	1	[1, 9]
	0	37	512	2	1	[1, 9]
	0	38	512	2	1	[1, 9]
	0	39	853	6	5	[1, 27]
	0	40	171	6	1	[1, 27]
	0	41	171	6	1	[1, 27]
	0	42	512	2	1	[1, 9]
	0	43	0	0	0	[0, 0]
	0	44	680	3	2	[1, 9]
	0	45	854	6	5	[1, 27]
	0	46	341	3	1	[1, 9]
	0	47	853	6	5	[1, 27]
	0	48	683	3	2	[1, 9]
	0	49	341	3	1	[1, 9]
	1	0	698	22	15	[1, 9]
	1	1	683	3	2	[1, 9]
	1	2	187	11	2	[1, 9]
	1	3	339	3	1	[1, 9]
	1	4	43	24	1	[27, 1]
	1	5	384	8	3	[9, 1]
	1	6	683	3	2	[1, 9]
	1	7	640	8	5	[9, 1]
	1	8	715	10	7	[1, 9]
	1	9	576	16	9	[9, 1]
	1	10	340	3	1	[1, 9]
	1	11	341	3	1	[1, 9]
	1	12	682	3	2	[1, 9]
	1	13	384	8	3	[9, 1]
	1	14	888	15	13	[1, 9]
	1	15	343	3	1	[1, 9]
	1	16	866	13	11	[27, 1]
	1	17	171	6	1	[1, 27]
	1	18	594	19	11	[1, 27]
	1	19	0	0	0	[0, 0]
	1	20	428	12	5	[27, 1]
	1	21	515	2	1	[1, 9]
	1	22	845	23	19	[1, 9]
	1	23	293	7	2	[1, 27]
	1	24	800	23	18	[1, 9]
	1	25	404	23	9	[1, 9]
	1	26	857	25	21	[27, 1]
	1	27	512	2	1	[1, 9]
	1	28	691	25	17	[27, 1]
	1	29	256	4	1	[9, 1]
	1	30	166	25	4	[27, 1]
	1	31	343	3	1	[1, 9]
	1	32	405	23	9	[1, 9]
	1	33	810	24	19	[27, 1]
	1	34	213	24	5	[27, 1]
	1	35	342	3	1	[1, 9]
	1	36	938	12	11	[27, 1]
	1	37	683	3	2	[1, 9]
	1	38	854	6	5	[1, 27]
	1	39	837	11	9	[1, 9]
	1	40	768	4	3	[9, 1]
	1	41	0	0	0	[0, 0]
	1	42	705	16	11	[9, 1]
	1	43	154	20	3	[9, 1]
	1	44	512	2	1	[1, 9]
	1	45	856	6	5	[1, 27]
	1	46	406	5	2	[9, 1]
	1	47	170	6	1	[1, 27]
	1	48	192	16	3	[9, 1]
	1	49	597	12	7	[27, 1]
	2	0	849	23	19	[1, 9]
	2	1	619	23	14	[1, 9]
	2	2	838	11	9	[1, 9]
	2	3	0	0	0	[0, 0]
	2	4	473	13	6	[27, 1]
	2	5	960	16	15	[9, 1]
	2	6	341	3	1	[1, 9]
	2	7	764	4	3	[9, 1]
	2	8	512	2	1	[1, 9]
	2	9	2	1	0	[27, 1]
	2	10	576	16	9	[9, 1]
	2	11	683	3	2	[1, 9]
	2	12	169	6	1	[1, 27]
	2	13	512	2	1	[1, 9]
	2	14	850	6	5	[1, 27]
	2	15	0	0	0	[0, 0]
	2	16	683	3	2	[1, 9]
	2	17	174	6	1	[1, 27]
	2	18	851	6	5	[1, 27]
	2	19	180	17	3	[9, 1]
	2	20	464	11	5	[1, 9]
	2	21	512	2	1	[1, 9]
	2	22	349	26	9	[1, 9]
	2	23	682	3	2	[1, 9]
	2	24	480	17	8	[9, 1]
	2	25	939	12	11	[27, 1]
	2	26	339	3	1	[1, 9]
	2	27	405	23	9	[1, 9]
	2	28	854	6	5	[1, 27]
	2	29	1008	1	1	[27, 1]
	2	30	931	11	10	[1, 9]
	2	31	341	3	1	[1, 9]
	2	32	139	22	3	[1, 9]
	2	33	950	14	13	[1, 9]
	2	34	512	2	1	[1, 9]
	2	35	496	27	13	[1, 9]
	2	36	875	27	23	[1, 9]
	2	37	576	16	9	[9, 1]
	2	38	790	22	17	[1, 9]
	2	39	512	2	1	[1, 9]
	2	40	679	3	2	[1, 9]
	2	41	821	5	4	[9, 1]
	2	42	203	5	1	[9, 1]
	2	43	510	2	1	[1, 9]
	2	44	8	1	0	[27, 1]
	2	45	512	2	1	[1, 9]
	2	46	512	2	1	[1, 9]
	2	47	682	3	2	[1, 9]
	2	48	668	23	15	[1, 9]
	2	49	552	13	7	[27, 1]
	3	0	923	10	9	[1, 9]
	3	1	84	12	1	[27, 1]
	3	2	256	4	1	[9, 1]
	3	3	683	3	2	[1, 9]
	3	4	618	5	3	[9, 1]
	3	5	1009	1	1	[27, 1]
	3	6	682	3	2	[1, 9]
	3	7	592	19	11	[1, 27]
