case	rep	j	r	k	guesses
0	0	683	3	2	[1, 9]
0	1	0	0	0	[0, 0]
0	2	172	6	1	[1, 27]
0	3	512	2	1	[1, 9]
0	4	683	3	2	[1, 9]
0	5	0	0	0	[0, 0]
0	6	0	0	0	[0, 0]
0	7	680	3	2	[1, 9]
0	8	853	6	5	[1, 27]
0	9	686	3	2	[1, 9]
0	10	683	3	2	[1, 9]
0	11	170	6	1	[1, 27]
0	12	171	6	1	[1, 27]
0	13	683	3	2	[1, 9]
0	14	341	3	1	[1, 9]
0	15	0	0	0	[0, 0]
0	16	683	3	2	[1, 9]
0	17	512	2	1	[1, 9]
0	18	0	0	0	[0, 0]
0	19	170	6	1	[1, 27]
0	20	0	0	0	[0, 0]
0	21	683	3	2	[1, 9]
0	22	852	6	5	[1, 27]
0	23	0	0	0	[0, 0]
0	24	171	6	1	[1, 27]
0	25	512	2	1	[1, 9]
0	26	683	3	2	[1, 9]
0	27	171	6	1	[1, 27]
0	28	341	3	1	[1, 9]
0	29	682	3	2	[1, 9]
0	30	171	6	1	[1, 27]
0	31	512	2	1	[1, 9]
0	32	0	0	0	[0, 0]
0	33	684	3	2	[1, 9]
0	34	0	0	0	[0, 0]
0	35	170	6	1	[1, 27]
0	36	171	6	1	[1, 27]
0	37	683	3	2	[1, 9]
0	38	0	0	0	[0, 0]
0	39	341	3	1	[1, 9]
0	40	170	6	1	[1, 27]
0	41	0	0	0	[0, 0]
0	42	173	6	1	[1, 27]
0	43	170	6	1	[1, 27]
0	44	512	2	1	[1, 9]
0	45	0	0	0	[0, 0]
0	46	171	6	1	[1, 27]
0	47	853	6	5	[1, 27]
0	48	512	2	1	[1, 9]
0	49	512	2	1	[1, 9]
1	0	651	11	7	[1, 9]
1	1	343	3	1	[1, 9]
1	2	69	15	1	[1, 9]
1	3	341	3	1	[1, 9]
1	4	341	3	1	[1, 9]
1	5	512	2	1	[1, 9]
1	6	0	0	0	[0, 0]
1	7	854	6	5	[1, 27]
1	8	745	11	8	[1, 9]
1	9	204	5	1	[9, 1]
1	10	170	6	1	[1, 27]
1	11	512	2	1	[1, 9]
1	12	341	3	1	[1, 9]
1	13	171	6	1	[1, 27]
1	14	685	3	2	[1, 9]
1	15	168	6	1	[1, 27]
1	16	2	1	0	[27, 1]
1	17	853	6	5	[1, 27]
1	18	512	2	1	[1, 9]
1	19	854	6	5	[1, 27]
1	20	513	2	1	[1, 9]
1	21	544	17	9	[9, 1]
1	22	169	6	1	[1, 27]
1	23	299	24	7	[27, 1]
1	24	512	2	1	[1, 9]
1	25	512	2	1	[1, 9]
1	26	682	3	2	[1, 9]
1	27	855	6	5	[1, 27]
1	28	341	3	1	[1, 9]
1	29	853	6	5	[1, 27]
1	30	512	2	1	[1, 9]
1	31	512	2	1	[1, 9]
1	32	0	0	0	[0, 0]
1	33	512	2	1	[1, 9]
1	34	266	27	7	[1, 9]
1	35	107	19	2	[1, 27]
1	36	341	3	1	[1, 9]
1	37	170	6	1	[1, 27]
1	38	853	6	5	[1, 27]
1	39	555	24	13	[27, 1]
1	40	0	0	0	[0, 0]
1	41	512	2	1	[1, 9]
1	42	278	11	3	[1, 9]
1	43	338	3	1	[1, 9]
1	44	885	22	19	[1, 9]
1	45	682	3	2	[1, 9]
1	46	861	25	21	[27, 1]
1	47	683	3	2	[1, 9]
1	48	0	0	0	[0, 0]
1	49	353	26	9	[1, 9]
2	0	544	17	9	[9, 1]
2	1	896	8	7	[9, 1]
2	2	654	25	16	[27, 1]
2	3	171	6	1	[1, 27]
2	4	675	26	17	[1, 9]
2	5	513	2	1	[1, 9]
2	6	552	13	7	[27, 1]
2	7	16	1	0	[27, 1]
2	8	0	0	0	[0, 0]
2	9	512	2	1	[1, 9]
2	10	809	19	15	[1, 27]
2	11	480	17	8	[9, 1]
2	12	139	22	3	[1, 9]
2	13	683	3	2	[1, 9]
2	14	854	6	5	[1, 27]
2	15	170	6	1	[1, 27]
2	16	854	6	5	[1, 27]
2	17	512	2	1	[1, 9]
2	18	106	19	2	[1, 27]
2	19	85	12	1	[27, 1]
2	20	837	11	9	[1, 9]
2	21	853	6	5	[1, 27]
2	22	171	6	1	[1, 27]
2	23	170	6	1	[1, 27]
2	24	863	19	16	[1, 27]
2	25	576	16	9	[9, 1]
2	26	912	9	8	[9, 1]
2	27	372	11	4	[1, 9]
2	28	528	27	14	[1, 9]
2	29	0	0	0	[0, 0]
2	30	155	20	3	[9, 1]
2	31	256	4	1	[9, 1]
2	32	504	2	1	[1, 9]
2	33	0	0	0	[0, 0]
2	34	469	24	11	[27, 1]
2	35	81	25	2	[27, 1]
2	36	0	0	0	[0, 0]
2	37	184	11	2	[1, 9]
2	38	299	24	7	[27, 1]
2	39	853	6	5	[1, 27]
2	40	683	3	2	[1, 9]
2	41	514	2	1	[1, 9]
2	42	698	22	15	[1, 9]
2	43	896	8	7	[9, 1]
2	44	478	15	7	[1, 9]
2	45	512	2	1	[1, 9]
2	46	512	2	1	[1, 9]
2	47	4	1	0	[27, 1]
2	48	298	24	7	[27, 1]
2	49	1	1	0	[27, 1]
3	0	85	12	1	[27, 1]
3	1	960	16	15	[9, 1]
3	2	756	23	17	[1, 9]
3	3	488	21	10	[9, 1]
3	4	130	8	1	[9, 1]
3	5	344	3	1	[1, 9]
3	6	339	3	1	[1, 9]
3	7	683	3	2	[1, 9]
3	8	324	19	6	[1, 27]
3	9	640	8	5	[9, 1]
3	10	328	25	8	[27, 1]
3	11	1010	1	1	[27, 1]
3	12	171	6	1	[1, 27]
3	13	544	17	9	[9, 1]
3	14	634	21	13	[9, 1]
3	15	901	25	22	[27, 1]
3	16	576	16	9	[9, 1]
3	17	1	1	0	[27, 1]
3	18	966	18	17	[1, 27]
3	19	854	6	5	[1, 27]
3	20	612	5	3	[9, 1]
3	21	155	20	3	[9, 1]
3	22	651	11	7	[1, 9]
3	23	884	22	19	[1, 9]
3	24	634	21	13	[9, 1]
3	25	168	6	1	[1, 27]
3	26	128	8	1	[9, 1]
3	27	370	25	9	[27, 1]
3	28	107	19	2	[1, 27]
3	29	276	26	7	[1, 9]
3	30	512	2	1	[1, 9]
3	31	172	6	1	[1, 27]
3	32	687	3	2	[1, 9]
3	33	212	24	5	[27, 1]
3	34	299	24	7	[27, 1]
3	35	363	17	6	[9, 1]
3	36	149	27	4	[1, 9]
3	37	549	13	7	[27, 1]
3	38	512	2	1	[1, 9]
3	39	896	8	7	[9, 1]
3	40	661	17	11	[9, 1]
3	41	512	2	1	[1, 9]
3	42	245	25	6	[27, 1]
3	43	811	24	19	[27, 1]
3	44	170	6	1	[1, 27]
3	45	276	26	7	[1, 9]
3	46	8	1	0	[27, 1]
3	47	904	17	15	[9, 1]
3	48	34	27	1	[1, 9]
3	49	341	3	1	[1, 9]
